"Index","Nickname","TemplateID","Position"
"38","level1_25","58817","167908.703125,1743.429565,14212.319336"
"39","level1_26","58817","151477.765625,976.473999,9974.076172"
"40","level3_5","58819","150984.781250,1003.729248,10096.316406"
"41","level4_3","58820","151153.921875,1876.490723,9403.851563"
"42","level1_27","58817","150565.765625,1071.459961,10086.971680"
"43","level1_28","58817","160199.328125,3080.548096,14916.563477"
"44","level1_29","58817","160570.171875,3028.637695,14684.266602"
"45","level1_30","58817","156135.156250,4847.227539,15366.032227"
"46","level1_31","58817","157130.453125,3266.906738,14583.909180"
"47","level2_9","58818","157304.078125,3259.164551,14384.158203"
"48","level3_6","58819","156769.390625,3270.125488,14294.839844"
"49","level1_32","58817","184829.250000,3763.060303,11302.250000"
"50","level1_33","58817","171950.171875,2194.699219,12864.932617"
"51","level1_34","58817","140847.406250,1608.847046,11565.114258"
"52","level1_35","58817","141911.000000,2441.319580,11001.216797"
"53","level2_10","58818","141471.812500,2445.835449,10983.891602"
"54","level1_36","58817","141093.890625,2448.334229,10884.493164"
"55","level2_11","58818","155059.734375,959.976196,9344.609375"
"56","level1_37","58817","154758.687500,958.273315,8919.609375"
"57","level1_38","58817","132086.578125,7905.919434,10267.581055"
"58","level1_39","58817","135031.718750,4262.787598,8513.116211"
"59","level1_40","58817","135296.031250,4251.995605,9001.223633"
"60","level1_41","58817","135346.171875,3766.795410,9406.854492"
"61","level2_12","58818","136144.468750,2843.563965,9450.099609"
"62","level2_13","58818","133696.875000,2039.929199,10789.636719"
"63","level3_7","58819","134101.625000,2035.696411,11408.686523"
"64","level2_14","58818","125445.328125,4835.939941,19076.039063"
"65","level3_8","58819","125000.828125,4051.500000,18556.384766"
"66","level1_42","58817","125611.132813,4835.939941,18673.138672"
"67","level1_43","58817","124886.890625,4046.502686,19143.744141"
"68","level1_44","58817","122023.984375,1706.661987,20487.447266"
"69","level1_45","58817","122133.179688,1782.684326,19645.351563"
"70","level1_46","58817","121890.164063,1830.062866,18441.669922"
"71","level2_15","58818","121979.031250,2356.334961,18424.919922"
"72","level1_47","58817","113871.484375,1244.604492,13848.080078"
"73","level1_48","58817","134461.718750,2960.482910,15607.256836"
"74","level1_49","58817","134743.500000,2960.015869,15295.480469"
"75","level1_50","58817","134971.125000,2961.785889,14912.250977"
"76","level2_16","58818","134249.437500,2958.065918,15001.377930"
"77","level2_17","58818","136817.171875,1959.100342,14168.994141"
"78","level4_4","58820","132705.890625,6613.279785,20420.615234"
"79","level3_9","58819","132738.140625,6621.943848,20036.275391"
"80","level1_51","58817","132084.265625,5889.362793,20149.312500"
"81","level1_52","58817","127515.695313,2380.317383,13561.186523"
"82","level1_53","58817","132766.828125,5397.211426,18564.423828"
"83","level3_10","58819","142570.843750,1821.884155,14739.973633"
"84","level1_54","58817","144069.390625,2242.196777,19588.257813"
"85","level2_18","58818","144086.468750,2250.271484,19740.335938"
"86","level3_11","58819","144200.593750,2766.943359,19703.177734"
"87","level1_55","58817","110088.070313,834.793091,11572.758789"
"88","level1_56","58817","109721.312500,770.123291,7425.588379"
"89","level1_57","58817","107093.117188,1523.428345,11647.226563"
"90","level1_58","58817","104098.890625,1706.329346,18697.845703"
"91","level1_59","58817","104984.101563,1315.444946,34766.660156"
"92","level3_12","58819","106190.210938,2079.358398,13058.916992"
"93","level1_60","58817","135476.656250,306.887817,36413.542969"
"94","level2_19","58818","135108.843750,300.906372,35697.328125"
"95","level4_5","58820","139029.390625,900.064087,26665.201172"
"96","level4_6","58820","140195.578125,900.064087,27630.898438"
"97","level3_13","58819","137750.171875,490.008545,33060.710938"
"98","level1_61","58817","138910.281250,205.569458,32389.212891"
"99","level1_62","58817","138080.718750,221.606445,31681.226563"
"100","level1_63","58817","138165.156250,220.199585,29637.544922"
"101","level1_64","58817","141419.500000,1203.060181,26603.080078"
"102","level1_65","58817","150410.234375,2011.065674,40953.390625"
"103","level1_66","58817","147986.328125,425.570679,57056.929688"
"104","level1_67","58817","149565.656250,2007.720947,41564.074219"
"105","level1_68","58817","143565.484375,-437.997437,49936.546875"
"106","level1_69","58817","152738.921875,2011.065674,42966.242188"
"107","level2_20","58818","153007.875000,2937.985352,43793.894531"
"108","level3_14","58819","153293.281250,2937.985352,43280.476563"
"109","level3_15","58819","151627.531250,2194.796875,39479.089844"
"110","level2_21","58818","154057.234375,2879.735596,41764.363281"
"111","level3_16","58819","154126.421875,2880.323730,41813.382813"
"112","level1_70","58817","160799.000000,116.836548,53029.699219"
"113","level1_71","58817","156091.109375,4263.378906,46546.871094"
"114","level1_72","58817","155692.828125,5232.161133,45919.593750"
"115","level2_22","58818","155606.953125,5232.478027,46216.351563"
"116","level1_73","58817","160312.828125,4741.467285,44538.914063"
"117","level1_74","58817","159626.359375,4741.467285,44252.714844"
"118","level1_75","58817","160520.296875,5677.580566,43916.089844"
"119","level2_23","58818","160083.718750,5677.580566,43869.359375"
"120","level3_17","58819","161776.031250,4757.725586,44537.808594"
"121","level1_76","58817","159251.281250,7189.244629,38380.070313"
"122","level1_77","58817","163591.156250,8803.628906,35282.445313"
"123","level3_18","58819","163198.109375,8891.981445,35270.972656"
"124","level4_7","58820","162944.640625,9620.404297,40364.531250"
"125","level1_78","58817","154458.312500,7885.380371,34772.968750"
"126","level2_24","58818","157812.312500,9214.683594,35129.058594"
"127","level3_19","58819","172975.468750,7091.595703,38783.878906"
"128","level1_79","58817","171540.468750,8117.461426,36905.695313"
"129","level1_80","58817","172982.718750,7061.295898,39616.335938"
"130","level1_81","58817","171322.843750,7829.135742,35041.882813"
"131","level1_82","58817","167382.562500,5298.936523,37061.410156"
"132","level2_25","58818","179701.812500,7891.467285,38537.394531"
"133","level1_83","58817","179969.468750,7890.467773,37655.523438"
"134","level1_84","58817","180606.906250,8791.515625,36563.867188"
"135","level1_85","58817","180507.296875,8923.600586,38041.054688"
"136","level3_20","58819","180874.250000,8791.515625,36597.769531"
"137","level2_26","58818","179155.218750,9494.778320,42051.789063"
"138","level4_8","58820","178040.765625,9437.023438,41839.691406"
"139","level3_21","58819","177988.687500,9491.226563,41773.261719"
"140","level1_86","58817","183259.125000,11826.865234,39860.695313"
"141","level1_87","58817","182765.687500,11325.355469,35681.214844"
"142","level1_88","58817","182989.484375,11325.157227,35520.093750"
"143","level1_89","58817","179755.406250,9854.608398,32109.976563"
"144","level1_90","58817","183431.234375,10403.468750,35467.628906"
"145","level2_27","58818","183391.312500,10403.468750,35979.375000"
"146","level2_28","58818","185414.703125,10403.468750,39237.605469"
"147","level1_91","58817","186985.687500,10405.324219,37178.562500"
"148","level1_92","58817","185791.765625,11906.063477,40612.378906"
"149","level2_29","58818","185734.515625,11797.024414,40116.484375"
"150","level1_93","58817","181789.375000,12203.536133,39004.136719"
"151","level1_94","58817","188305.937500,10403.468750,33424.437500"
"152","level1_95","58817","187117.875000,10403.468750,34746.152344"
"153","level1_96","58817","183733.406250,13157.467773,26880.951172"
"154","level1_97","58817","182505.468750,13159.719727,25964.144531"
"155","level2_30","58818","183632.281250,13923.994141,26672.341797"
"156","level4_9","58820","182942.171875,13923.997070,26013.662109"
"157","level3_22","58819","184817.890625,10403.468750,39630.664063"
"158","level4_10","58820","194652.703125,15322.375000,31532.199219"
"159","level4_11","58820","195740.093750,16288.748047,31322.445313"
"160","level3_23","58819","196051.953125,15345.466797,30505.435547"
"161","level1_98","58817","195334.875000,15347.061523,30559.460938"
"162","level1_99","58817","196074.328125,16288.748047,31054.363281"
"163","level1_100","58817","194557.265625,15346.519531,31194.796875"
"164","level1_101","58817","199868.062500,16313.740234,28331.304688"
"165","level2_31","58818","199825.953125,16313.425781,28634.460938"
"166","level4_12","58820","199009.734375,15345.467773,28909.330078"
"167","level1_102","58817","202520.296875,15036.851563,23606.386719"
"168","level1_103","58817","195349.781250,15281.458984,26153.601563"
"169","level1_104","58817","195093.921875,15282.869141,25570.740234"
"170","level2_32","58818","195048.406250,15279.644531,25937.992188"
"171","level1_105","58817","193993.421875,15914.734375,30497.185547"
"172","level2_33","58818","194265.359375,16091.097656,32177.822266"
"173","level1_106","58817","197269.000000,16439.683594,33827.882813"
"174","level1_107","58817","198698.125000,16881.996094,34390.785156"
"175","level3_24","58819","201326.484375,16809.054688,34093.550781"
"176","level1_108","58817","202608.265625,16565.849609,30564.050781"
"177","level1_109","58817","202220.484375,16530.027344,28255.892578"
"178","level1_110","58817","197891.750000,16253.328125,24245.568359"
"179","level2_34","58818","196829.250000,16234.791992,24332.650391"
"180","level2_35","58818","196087.718750,16143.999023,24428.386719"
"181","level1_111","58817","200022.984375,6742.790039,12500.474609"
"182","level1_112","58817","197191.765625,15299.467773,26275.212891"
"183","level1_113","58817","199122.218750,15342.468750,28345.968750"
"184","level1_114","58817","199978.500000,15349.493164,27454.712891"
"185","level4_13","58820","183698.359375,14780.226563,21283.695313"
"186","level3_25","58819","185664.234375,14765.473633,21947.216797"
"187","level3_26","58819","184642.546875,14763.102539,18913.091797"
"188","level4_14","58820","186033.734375,14794.563477,20436.126953"
"189","level1_115","58817","180140.984375,11424.381836,28368.642578"
"190","level1_116","58817","167061.671875,11463.789063,30967.111328"
"191","level1_117","58817","163801.562500,10950.687500,23820.339844"
"192","level3_27","58819","164412.937500,10947.850586,24073.132813"
"193","level4_15","58820","161980.296875,10731.905273,23691.675781"
"194","level2_36","58818","155901.546875,9641.170898,22613.361328"
"195","level3_28","58819","161912.937500,9461.635742,20138.707031"
"196","level2_37","58818","161960.093750,10093.600586,20036.849609"
"197","level2_38","58818","162181.250000,10084.785156,20677.345703"
"198","level1_118","58817","162130.156250,9452.405273,20679.607422"
"199","level1_119","58817","143963.812500,4453.508789,9381.152344"
"200","level1_120","58817","166121.562500,8291.905273,22451.177734"
"201","level2_39","58818","166283.046875,7665.577637,21313.541016"
"202","level3_29","58819","166406.921875,6516.467285,21457.267578"
"203","level4_16","58820","165787.031250,8270.500000,22160.894531"
"204","level1_121","58817","168084.453125,7842.899902,23710.425781"
"205","level2_40","58818","168749.515625,7831.467285,23930.990234"
"206","level1_122","58817","166778.000000,6516.247559,22100.421875"
"207","level1_123","58817","167069.562500,6516.467285,21253.619141"
"208","level4_17","58820","152709.109375,6410.589844,20778.291016"
"209","level1_124","58817","152983.406250,6391.597168,18875.218750"
"210","level1_125","58817","153854.781250,6376.467773,17545.949219"
"211","level3_30","58819","152522.703125,6925.416016,20982.859375"
"212","level4_18","58820","151425.671875,7899.027832,22412.228516"
"213","level3_31","58819","151016.578125,6415.063477,20992.968750"
"214","level1_126","58817","152160.265625,7858.464844,21733.871094"
"215","level1_127","58817","152410.796875,6456.517578,16995.433594"
"216","level1_128","58817","150050.968750,6528.028809,19591.863281"
"217","level1_129","58817","150650.015625,6229.530273,15689.860352"
"218","level2_41","58818","149946.984375,6154.733398,15478.165039"
"219","level2_42","58818","150447.609375,6415.801758,21873.830078"
"220","level2_43","58818","150814.421875,7122.912598,15070.603516"
"221","level2_44","58818","138144.890625,234.167480,30676.097656"
"222","level2_45","58818","139977.703125,900.064087,26810.775391"
"223","level2_46","58818","139672.828125,900.064087,26522.359375"
"224","level3_32","58819","146927.734375,7775.350098,27319.986328"
"225","level1_130","58817","150586.687500,6527.777344,26068.121094"
"226","level3_33","58819","151396.953125,6215.053711,28263.464844"
"227","level4_19","58820","152581.640625,5897.470215,31446.027344"
"228","level1_131","58817","151361.484375,5888.287109,31580.517578"
"229","level2_47","58818","153732.750000,5888.287109,31754.806641"
"230","level1_132","58817","150665.625000,7695.700195,25845.232422"
"231","level1_133","58817","150400.531250,7418.554688,30292.232422"
"232","level2_48","58818","153163.265625,620.498657,51148.703125"
"233","level3_34","58819","168360.078125,2033.410645,45530.699219"
"234","level2_49","58818","168898.640625,5339.671387,36567.277344"
"235","level2_50","58818","169266.000000,4164.256348,43087.140625"
"236","level4_20","58820","191423.296875,-356.918335,59843.890625"
"237","level2_51","58818","191404.093750,-319.879150,59570.636719"
"238","level1_134","58817","186193.046875,-300.128174,59845.007813"
"239","level2_52","58818","186096.093750,-296.411133,59523.132813"
"240","level1_135","58817","174566.437500,-404.885864,49440.738281"
"241","level1_136","58817","174708.640625,-401.052856,49524.949219"
"242","level2_53","58818","140403.156250,-230.484009,50671.253906"
"243","level2_54","58818","140333.328125,-251.336670,51232.609375"
"244","level1_137","58817","140437.437500,-263.076782,50960.371094"
"245","level4_21","58820","156878.234375,4266.467285,46279.484375"
"246","level2_55","58818","182628.656250,6430.175781,93071.609375"
"247","level3_35","58819","182688.703125,6384.862305,95162.250000"
"248","level1_138","58817","185344.609375,6384.862305,95185.523438"
"249","level1_139","58817","170878.640625,10239.458984,144311.156250"
"250","level1_140","58817","184629.375000,6703.237305,94239.914063"
"251","level4_22","58820","183500.640625,6703.237305,93192.093750"
"252","level1_141","58817","178156.781250,4908.488281,94513.609375"
"253","level2_56","58818","177752.625000,4897.456543,94589.804688"
"254","level4_23","58820","177799.953125,4221.793945,100178.421875"
"255","level3_36","58819","177417.500000,4291.061523,99247.921875"
"256","level1_142","58817","178337.343750,4365.936523,98704.320313"
"257","level1_143","58817","177642.937500,4327.372559,98069.210938"
"258","level2_57","58818","165800.984375,7277.128418,56462.421875"
"259","level2_58","58818","164588.765625,7277.220215,60181.968750"
"260","level1_144","58817","165257.109375,7183.282227,57453.460938"
"261","level1_145","58817","164620.171875,7183.282227,58980.457031"
"262","level1_146","58817","112297.687500,1164.251709,65309.382813"
"263","level1_147","58817","181366.875000,7537.112305,65582.046875"
"264","level1_148","58817","182183.187500,7445.645020,65527.101563"
"265","level2_59","58818","181726.343750,7462.982422,65317.152344"
"266","level1_149","58817","172623.500000,10515.517578,72807.414063"
"267","level1_150","58817","181586.687500,12150.076172,78320.093750"
"268","level1_151","58817","182392.796875,12173.817383,77760.851563"
"269","level2_60","58818","181775.234375,12167.474609,78014.000000"
"270","level3_37","58819","182536.531250,12166.068359,77441.570313"
"271","level4_24","58820","185272.468750,14488.618164,81480.203125"
"272","level1_152","58817","185067.640625,14518.383789,80570.070313"
"273","level3_38","58819","186678.781250,14914.990234,77773.312500"
"274","level2_61","58818","187700.765625,15193.685547,76599.757813"
"275","level1_153","58817","181248.500000,11061.063477,69733.960938"
"276","level1_154","58817","189925.734375,14421.630859,75461.164063"
"277","level1_155","58817","189975.375000,14424.872070,75097.242188"
"278","level2_62","58818","190528.125000,14424.810547,75323.593750"
"279","level3_39","58819","193509.843750,14452.661133,73725.718750"
"280","level1_156","58817","168267.437500,8150.473145,133060.171875"
"281","level1_157","58817","170763.937500,8516.498047,138780.031250"
"282","level1_158","58817","190779.406250,12561.683594,91767.000000"
"283","level4_25","58820","192915.375000,12549.496094,91770.007813"
"284","level3_40","58819","193758.984375,12605.282227,90402.234375"
"285","level2_63","58818","191927.125000,12594.749023,89315.468750"
"286","level3_41","58819","171317.406250,10712.575195,65469.445313"
"287","level1_159","58817","136480.953125,-538.491821,80060.875000"
"288","level1_160","58817","136614.484375,-509.115601,79810.148438"
"289","level1_161","58817","137275.328125,-390.914917,78144.679688"
"290","level4_26","58820","135842.656250,-519.104004,79110.820313"
"291","level1_162","58817","170378.765625,7253.305176,119254.710938"
"292","level3_42","58819","170182.750000,8048.760742,114038.882813"
"293","level4_27","58820","184038.703125,5577.040527,3129.169189"
"294","level2_64","58818","158781.000000,3263.278320,6741.218750"
"295","level2_65","58818","157963.828125,3262.468018,6661.095215"
"296","level4_28","58820","197012.921875,2325.434814,5273.592285"
"297","level3_43","58819","122579.695313,1706.628418,21072.650391"
"298","level4_29","58820","118532.992188,1435.101318,26628.433594"
"299","level1_163","58817","118631.710938,1455.895996,27082.248047"
"300","level1_164","58817","115536.757813,1622.732544,27970.650391"
"301","level2_66","58818","115954.882813,1611.578369,27936.109375"
"302","level2_67","58818","90126.437500,1381.851196,30925.226563"
"303","level2_68","58818","89881.554688,1403.579712,31423.242188"
"304","level4_30","58820","170136.906250,-653.750610,50287.437500"
"305","level3_44","58819","133080.281250,6597.412109,106752.257813"
"306","level4_31","58820","133417.234375,6598.573242,106114.539063"
"307","level1_165","58817","146779.875000,10422.537109,110364.062500"
"308","level2_69","58818","146345.812500,10555.411133,109667.367188"
"309","level1_166","58817","146936.859375,11335.006836,109948.718750"
"310","level1_167","58817","146997.625000,11335.006836,109504.406250"
"311","level2_70","58818","146845.906250,10301.570313,112110.093750"
"312","level1_168","58817","145298.734375,10199.395508,117117.234375"
"313","level1_169","58817","145342.375000,10205.357422,117444.640625"
"314","level1_170","58817","146622.265625,10285.817383,117151.539063"
"315","level1_171","58817","132683.000000,6872.201660,92228.945313"
"316","level1_172","58817","130961.304688,7777.810547,124559.421875"
"317","level1_173","58817","130845.468750,7777.864746,127006.687500"
"318","level1_174","58817","133608.906250,7778.842773,127068.859375"
"319","level2_71","58818","129591.039063,7811.082520,127454.703125"
"320","level1_175","58817","133550.921875,7790.637207,130862.843750"
"321","level2_72","58818","130062.484375,7851.588379,132125.203125"
"322","level1_176","58817","128698.351563,7837.924316,132528.437500"
"323","level1_177","58817","131618.015625,7806.797852,133291.171875"
"324","level3_45","58819","129689.843750,7850.901855,135143.984375"
"325","level3_46","58819","132237.890625,7879.153320,135701.109375"
"326","level4_32","58820","132739.453125,8296.191406,139390.093750"
"327","level4_33","58820","134116.734375,7825.211914,134430.703125"
"328","level1_178","58817","120814.781250,7052.932617,101776.218750"
"329","level1_179","58817","136519.343750,7802.062988,134819.906250"
"330","level3_47","58819","135933.937500,7812.974609,135312.531250"
"331","level1_180","58817","133311.500000,7797.639648,132128.828125"
"332","level1_181","58817","133963.359375,7802.128418,133216.703125"
"333","level1_182","58817","137654.656250,7813.328613,132816.546875"
"334","level2_73","58818","137024.968750,7802.427734,133003.375000"
"335","level2_74","58818","140445.234375,7856.358398,133166.171875"
"336","level2_75","58818","138619.218750,7817.822266,130881.710938"
"337","level3_48","58819","138608.781250,7898.715332,128193.289063"
"338","level1_183","58817","139713.921875,7798.820313,129419.156250"
"339","level1_184","58817","138404.890625,7769.311523,129530.039063"
"340","level1_185","58817","140381.531250,7762.245117,127506.250000"
"341","level1_186","58817","142069.500000,7765.808105,127740.210938"
"342","level1_187","58817","140889.656250,7816.314453,129791.601563"
"343","level1_188","58817","139648.718750,7839.010742,135159.250000"
"344","level2_76","58818","139918.796875,7855.000488,136456.171875"
"345","level2_77","58818","142003.546875,7938.571289,136477.546875"
"346","level4_34","58820","142434.156250,7897.480957,137972.156250"
"347","level2_78","58818","139439.609375,7855.206055,138748.046875"
"348","level2_79","58818","139421.828125,7856.100586,140320.046875"
"349","level1_189","58817","83890.101563,1906.649780,139832.515625"
"350","level1_190","58817","127201.601563,7806.028809,135331.125000"
"351","level2_80","58818","130936.937500,7859.919922,134879.093750"
"352","level3_49","58819","140812.031250,7814.857422,131129.875000"
"353","level1_191","58817","126869.750000,7784.281738,130856.851563"
"354","level1_192","58817","126474.781250,7780.995117,129293.085938"
"355","level1_193","58817","124797.359375,7811.088379,129011.046875"
"356","level2_81","58818","123627.250000,7807.917969,128443.570313"
"357","level3_50","58819","124056.679688,7798.901367,127357.601563"
"358","level1_194","58817","122604.203125,7817.063965,128163.648438"
"359","level1_195","58817","121357.398438,7817.063965,128170.835938"
"360","level3_51","58819","122102.945313,7809.158203,132541.453125"
"361","level3_52","58819","124634.656250,7894.177246,138394.218750"
"362","level3_53","58819","121984.250000,7791.238281,142514.625000"
"363","level2_82","58818","127199.023438,8011.911133,137870.640625"
"364","level1_196","58817","126936.679688,7841.049316,136490.375000"
"365","level1_197","58817","124614.906250,7785.312012,134637.625000"
"366","level1_198","58817","125353.468750,7788.470703,134487.296875"
"367","level1_199","58817","124603.171875,7805.926758,133186.375000"
"368","level4_35","58820","128849.257813,7795.115723,133296.625000"
"369","level4_36","58820","126763.132813,7807.754395,132029.250000"
"370","level1_200","58817","121390.664063,7786.779785,130098.367188"
"371","level2_83","58818","121505.562500,7817.063965,129260.718750"
"372","level3_54","58819","122496.335938,7817.063965,127952.492188"
"373","level2_84","58818","136576.921875,7891.581543,136655.859375"
"374","level2_85","58818","132381.281250,8358.428711,139085.359375"
"375","level2_86","58818","132992.828125,8252.885742,138959.812500"
"376","level2_87","58818","132594.328125,8305.868164,138828.390625"
"377","level2_88","58818","124775.687500,7816.163574,135734.421875"
"378","level3_55","58819","108978.500000,3329.156494,162538.750000"
"379","level1_201","58817","108267.554688,3244.476318,162263.468750"
"380","level1_202","58817","103615.648438,6462.020996,165571.796875"
"381","level1_203","58817","109411.390625,3472.351074,162222.687500"
"382","level1_204","58817","106959.617188,3062.118652,164522.875000"
"383","level1_205","58817","106746.226563,3029.843262,165011.781250"
"384","level1_206","58817","106408.507813,3061.712646,166851.531250"
"385","level2_89","58818","106453.429688,3088.226318,167049.093750"
"386","level1_207","58817","106183.875000,3287.072754,174314.093750"
"387","level2_90","58818","106563.257813,3374.014160,174858.609375"
"388","level1_208","58817","108037.023438,3324.765137,174553.171875"
"389","level1_209","58817","120825.179688,4297.409180,183672.812500"
"390","level1_210","58817","107122.359375,3024.209473,171958.984375"
"391","level4_37","58820","110168.734375,3220.693848,170857.546875"
"392","level4_38","58820","194323.406250,15000.001953,65992.203125"
"393","level3_56","58819","196370.500000,19544.882813,44642.542969"
"394","level2_91","58818","195969.078125,19541.099609,44262.312500"
"395","level2_92","58818","196426.375000,19561.728516,44208.460938"
"396","level1_211","58817","90295.562500,3482.400391,169574.375000"
"397","level2_93","58818","88925.945313,3747.274902,170772.562500"
"398","level1_212","58817","91644.375000,3431.610107,170536.406250"
"399","level1_213","58817","112939.406250,4851.437500,190183.750000"
"400","level1_214","58817","112341.382813,4866.290039,190094.562500"
"401","level1_215","58817","125017.296875,6278.680664,193010.875000"
"402","level2_94","58818","124354.101563,6249.121094,193692.609375"
"403","level3_57","58819","113375.570313,4417.767578,187739.578125"
"404","level1_216","58817","112633.921875,4160.656738,187079.156250"
"405","level2_95","58818","107256.546875,4911.056641,188797.703125"
"406","level1_217","58817","104637.890625,5563.397949,197612.078125"
"407","level2_96","58818","124855.273438,6736.404297,189344.765625"
"408","level1_218","58817","120418.429688,5670.879883,192552.859375"
"409","level1_219","58817","120952.164063,5603.799316,190679.984375"
"410","level1_220","58817","117014.937500,3988.526611,180243.937500"
"411","level1_221","58817","127027.898438,3988.530029,181562.187500"
"412","level2_97","58818","126680.945313,3988.529541,179550.484375"
"413","level4_39","58820","133133.875000,5143.771973,180142.265625"
"414","level1_222","58817","131847.578125,6309.171875,184917.125000"
"415","level1_223","58817","133530.484375,7328.114258,199887.703125"
"416","level1_224","58817","132816.031250,6309.330078,184867.968750"
"417","level2_98","58818","131988.421875,5616.226074,184106.515625"
"418","level2_99","58818","129701.539063,5633.017090,184591.312500"
"419","level2_100","58818","132604.265625,4844.501465,181573.203125"
"420","level2_101","58818","132422.140625,4784.874512,178686.500000"
"421","level1_225","58817","122766.382813,5408.465820,174983.640625"
"422","level1_226","58817","125078.820313,5213.705566,173666.546875"
"423","level1_227","58817","110828.335938,3455.419922,164987.765625"
"424","level2_102","58818","112041.906250,3483.746338,165108.578125"
"425","level2_103","58818","119711.890625,4107.327148,167580.593750"
"426","level1_228","58817","90419.265625,950.567627,125899.046875"
"427","level1_229","58817","118512.546875,4029.519531,165862.093750"
"428","level1_230","58817","119143.750000,4010.217285,168550.187500"
"429","level1_231","58817","91419.554688,452.920532,114127.664063"
"430","level1_232","58817","121986.812500,4274.954102,165778.484375"
"431","level2_104","58818","121744.382813,4281.537109,166326.234375"
"432","level4_40","58820","121741.945313,4431.619141,167160.765625"
"433","level3_58","58819","118201.101563,4398.473145,178295.546875"
"434","level4_41","58820","116605.171875,3687.112305,176666.921875"
"435","level3_59","58819","117956.773438,3907.021973,174106.718750"
"436","level2_105","58818","116046.414063,3627.536133,173719.484375"
"437","level3_60","58819","116144.601563,3628.530762,172747.218750"
"438","level2_106","58818","144228.625000,5905.068359,177665.625000"
"439","level1_233","58817","144262.406250,5905.068359,177397.859375"
"440","level1_234","58817","149940.546875,5936.224609,175780.953125"
"441","level1_235","58817","149878.937500,5961.630371,174658.125000"
"442","level1_236","58817","150673.843750,6004.684570,181248.390625"
"443","level1_237","58817","150776.078125,5841.913086,178922.609375"
"444","level1_238","58817","171604.046875,7473.790039,183907.265625"
"445","level1_239","58817","172164.906250,7472.972656,183397.625000"
"446","level1_240","58817","172759.953125,7473.729004,182949.687500"
"447","level1_241","58817","173442.484375,7474.232422,182676.093750"
"448","level3_61","58819","173706.609375,6304.556152,181034.796875"
"449","level4_42","58820","177489.562500,6918.765137,172341.562500"
"450","level1_242","58817","175210.359375,6850.933105,178719.921875"
"451","level1_243","58817","174778.093750,6850.933105,178405.437500"
"452","level2_107","58818","174623.734375,7217.104492,181199.156250"
"453","level2_108","58818","175228.218750,7217.106445,180447.406250"
"454","level1_244","58817","175132.734375,7822.032715,181556.390625"
"455","level1_245","58817","175428.859375,7823.547363,181188.937500"
"456","level1_246","58817","174354.937500,6402.416992,180349.265625"
"457","level1_247","58817","172694.750000,6321.133301,182112.468750"
"458","level4_43","58820","176178.625000,7822.445801,180468.281250"
"459","level4_44","58820","175641.593750,6278.192383,166706.734375"
"460","level3_62","58819","174877.437500,5862.741211,166468.843750"
"461","level3_63","58819","174769.937500,5897.070313,167820.718750"
"462","level1_248","58817","172700.531250,5611.239746,167510.828125"
"463","level1_249","58817","172430.343750,5563.525391,167674.984375"
"464","level1_250","58817","172991.031250,5670.932129,168001.562500"
"465","level1_251","58817","177321.359375,6757.113770,170674.859375"
