"Index","Nickname","TemplateID","Position","Kind"
"50","longmenwaguan24","6859","144616.187500,2219.171143,19194.285156","0"
"51","longmenwaguan25","6859","144345.609375,2259.341309,19095.919922","0"
"52","longmenwaguan26","6859","144726.109375,2195.538330,18960.931641","0"
"53","longmenwaguan27","6859","144541.109375,2218.307617,18865.775391","0"
"54","longmenshashi13","6859","144847.296875,2179.885742,19264.175781","0"
"55","longmenwaguan28","6857","126027.945313,4089.521729,17917.134766","0"
"56","longmenwaguan29","6859","119355.507813,1430.627441,26411.974609","0"
"57","longmenshashi14","6859","119335.585938,1427.078247,26132.958984","0"
"58","longmenguanmu12","6857","110534.804688,775.241089,7041.539063","0"
"59","longmenguanmu13","6858","110901.648438,848.202515,10592.146484","0"
"60","longmenguanmu14","6858","111181.937500,834.741211,11652.646484","0"
"61","longmenguanmu15","6858","106719.835938,1507.272339,17894.750000","0"
"62","longmenwaguan30","6858","136740.515625,-470.916748,78786.578125","0"
"63","longmenshashi15","6859","135887.968750,-503.012085,78891.632813","0"
"64","longmenshashi16","6857","131967.906250,6628.636230,106101.718750","0"
"65","longmenwaguan31","6857","131665.390625,6621.072266,106534.304688","0"
"66","longmenshashi17","6859","130368.554688,7804.310547,133367.406250","0"
"67","longmenshashi18","6857","132607.625000,8091.499512,137158.781250","0"
"68","longmenshashi19","6857","121521.640625,7891.837891,141729.875000","0"
"69","longmenwaguan32","6857","127594.515625,4480.200195,177135.796875","0"
"70","longmenguanmu16","6859","120948.093750,4291.787598,183339.593750","0"
"71","longmenguanmu17","6858","98843.835938,3007.008545,40358.820313","0"
"72","longmenguanmu18","6858","83480.609375,1342.951660,56132.312500","0"
"73","longmenguanmu19","6858","84196.734375,1998.383667,87525.234375","0"
"74","longmenguanmu20","6858","60863.996094,3007.542480,87590.328125","0"
"75","longmenguanmu21","6858","23513.792969,549.091309,88808.757813","0"
"76","longmenguanmu22","6858","16765.392578,509.717163,106078.109375","0"
"77","longmenguanmu23","6858","51039.019531,1508.232910,112037.484375","0"
"78","longmenguanmu24","6858","70374.359375,866.995972,132516.234375","0"
"79","longmenguanmu25","6858","96212.515625,865.373779,131430.640625","0"
"80","longmenguanmu26","6858","102287.125000,1272.593140,71131.156250","0"
"81","longmenguanmu27","6858","127862.546875,4902.532227,173662.031250","0"
"82","longmenguanmu28","6858","179338.812500,4799.488281,95217.335938","0"
"83","longmenguanmu29","6858","76613.781250,1401.819458,57404.132813","0"
"84","longmenguanmu30","6858","77379.750000,1436.183594,50530.449219","0"
"85","longmenguanmu31","6858","99886.101563,1512.050781,59691.871094","0"
"86","longmenshashi20","6858","68033.164063,2237.490723,74706.742188","0"
"87","longmenshashi21","6857","82125.023438,4321.027344,96755.539063","0"
"88","longmenshashi22","6857","73521.601563,2520.402588,66005.484375","0"
"89","longmenshashi23","6857","73769.500000,2524.156250,51135.367188","0"
"90","longmenshashi24","6857","90426.382813,1417.354614,31601.263672","0"
"91","longmenshashi25","6857","113218.929688,1233.122314,13351.194336","0"
"92","longmenshashi26","6857","134179.921875,2958.390625,15208.320313","0"
"93","longmenshashi27","6857","19279.488281,707.459229,25472.646484","0"
"94","longmenshashi28","6857","43766.273438,2517.359131,36632.628906","0"
"95","longmenshashi29","6857","68178.554688,1431.077026,44816.671875","0"
"96","longmenshashi30","6857","49599.847656,2046.510498,134380.828125","0"
"97","longmenshashi31","6857","169420.781250,4382.434082,178626.406250","0"
"98","longmenshashi32","6857","41775.296875,3109.691650,188200.234375","0"
"99","longmenshashi33","6857","57049.308594,8106.278320,147444.421875","0"
"100","longmenshashi34","6857","54689.585938,4242.108398,82744.031250","0"
"101","longmenshashi35","6857","45618.222656,1912.245605,69372.945313","0"
"102","longmenshashi36","6857","25313.197266,1196.643433,86295.453125","0"
"103","longmenshashi37","6857","76028.867188,1385.348267,124024.914063","0"
"104","longmenshashi38","6857","49927.218750,3347.661133,84462.296875","0"
"105","longmenshashi39","6857","57949.187500,334.041779,62879.710938","0"
"106","longmenwaguan33","6857","88274.132813,2342.604004,71815.429688","0"
"107","longmenwaguan34","6859","80254.210938,1969.130737,73045.773438","0"
"108","longmenwaguan35","6859","76023.367188,1425.898560,60813.566406","0"
"109","longmenwaguan36","6859","90202.492188,2719.078125,25291.523438","0"
"110","longmenwaguan37","6859","105951.976563,1522.390747,16822.167969","0"
"111","longmenwaguan38","6859","128031.101563,3008.553711,21277.632813","0"
"112","longmenwaguan39","6859","127850.320313,1102.665527,29610.492188","0"
"113","longmenwaguan40","6859","142776.156250,410.711670,42697.941406","0"
"114","longmenwaguan41","6859","142641.328125,410.581207,42610.753906","0"
"115","longmenwaguan42","6859","147023.656250,627.870178,57630.992188","0"
"116","longmenwaguan43","6859","127557.078125,7140.440430,81057.882813","0"
"117","longmenwaguan44","6859","89083.687500,5114.550781,96324.398438","0"
"118","longmenwaguan45","6859","81630.398438,4328.653320,99739.414063","0"
"119","longmenwaguan46","6859","58795.554688,1461.601685,130630.335938","0"
"120","longmenwaguan47","6859","51758.617188,3144.598877,134886.015625","0"
"121","longmenwaguan48","6859","49073.273438,1297.059570,138398.859375","0"
"122","longmenwaguan49","6859","50672.804688,3078.322754,143798.468750","0"
"123","longmenwaguan50","6859","55981.187500,3633.357666,138953.687500","0"
"124","longmenwaguan51","6859","108165.687500,3338.162109,142126.640625","0"
"125","longmenwaguan52","6859","136093.312500,7845.283691,136260.750000","0"
"126","longmenwaguan53","6859","133336.359375,7776.937988,130585.640625","0"
"127","longmenwaguan54","6859","130114.109375,9005.780273,114811.328125","0"
"128","longmenwaguan55","6859","158941.703125,5155.856934,166241.281250","0"
"129","longmenwaguan56","6859","176093.000000,6289.830566,170601.140625","0"
"130","longmenwaguan57","6859","172272.984375,6319.743164,182369.796875","0"
"131","longmenwaguan58","6859","172397.406250,6311.984375,182271.312500","0"
"132","longmenwaguan59","6859","172245.843750,6236.320313,182259.234375","0"
"133","longmenwaguan60","6859","78579.507813,2662.503174,65559.070313","0"
"134","longmenwaguan61","6859","73999.039063,2725.686035,65858.375000","0"
"135","longmenwaguan62","6859","69314.242188,1090.788696,60000.593750","0"
"136","longmenwaguan63","6859","65500.281250,612.209534,52369.929688","0"
"137","longmenwaguan64","6859","68186.710938,1889.489746,33141.148438","0"
"138","longmenwaguan65","6859","68688.976563,1842.196289,25222.443359","0"
"139","longmenwaguan66","6859","45483.531250,1185.020508,33085.054688","0"
"140","longmenwaguan67","6859","44169.062500,2415.475586,39362.656250","0"
"141","longmenwaguan68","6859","39214.167969,1022.352966,46341.761719","0"
"142","longmenwaguan69","6859","31823.138672,959.907166,44035.210938","0"
"143","longmenwaguan70","6859","38068.535156,661.714172,30393.625000","0"
"144","longmenwaguan71","6859","33115.339844,706.792847,22033.632813","0"
"145","longmenwaguan71","6859","65116.980469,2832.063232,19620.052734","0"
