ID	Length	String
STR_SETTING57	64	勾选后，按当前配方自动合成五行石。关闭界面或条件不足时结束合成。
STR_SETTING56	22	自动按当前配方合五行石
STR_SETTING162	16	世界地图搜索功能
STR_SETTING110	49	勾选后，在小头像处可以点击对应按钮快速脱装/换装。
STR_SETTING109	13	快速脱装/换装
STR_SETTING82	6	配置项
STR_SETTING117	56	当收到对应事件且客户端不在前台时，客户端任务栏会闪烁通知
STR_SETTING116	14	任务栏闪烁通知
STR_SETTING118	10	通知项设置
STR_SETTING159	36	倒计时10秒后将自动进入名剑大会、战场
STR_SETTING160	22	自动进入名剑大会、战场
STR_SETTING244	18	无需倒计时直接进入
STR_SETTING242	184	只能隐藏自己角色的特效或动作，且不会影响其他玩家看到的侠士角色的效果，多用于自拍时隐藏身上的常驻BUFF特效；\n需要在效果获得之前开启功能方可生效（例如长歌的曲风需要切换一下体态方可生效）
STR_SETTING243	17	隐藏自身特效&动作
STR_SETTING251	8	选择特效
STR_SETTING252	8	选择动作
STR_SETTING287	65	只有NPC类型的头像才会显示；也可以用来判定哪位大侠首先攻击的该目标
STR_SETTING286	26	目标头像处增加掉落归属名称
STR_SETTING100	13	团队标记/集火
STR_SETTING18	72	※勾选后组队时自动显示。\n※拖动标记列表左侧按钮附近区域可改变界面位置。
STR_SETTING101	12	团队列表保存
STR_SETTING102	98	※此功能比较适用于组队战场和组队名剑大会，团长可预先调队并保存，进入场景之后，可一键还原保存列表。
STR_SETTING106	14	相关快捷键设置
STR_SETTING107	51	快速标记、团队列表保存/还原等操作可设置对应快捷键。
STR_SETTING16	21	显示快速标记/集火列表
STR_SETTING103	8	保存列表
STR_SETTING104	8	还原列表
STR_SETTING108	16	保留小队阵眼信息
STR_SETTING105	10	设置快捷键
STR_SETTING140	4	默认
STR_SETTING141	6	自定义
STR_SETTING142	86	1.部分场景禁用团队技能监控\n2.左键点击图标可激活技能统计\n3.右键设置冷却时间、进度条等
STR_SETTING143	18	启用团队技能CD监控
STR_SETTING144	20	仅副本类型的地图开启
STR_SETTING288	16	启用CD进度条显示
STR_SETTING269	24	副本脱战重置CD时重置监控
STR_SETTING145	12	页面显示列数
STR_SETTING289	31	进度条功能启用时将强制显示为3列
STR_SETTING150	12	团队物品显示
STR_SETTING151	12	快速选择队友
STR_SETTING147	24	突出显示团队内的仙王蛊鼎
STR_SETTING148	18	突出显示团队的宴席
STR_SETTING138	30	启用一键选择视野内最低血量队友
STR_SETTING139	10	不选择自己
STR_SETTING187	14	>>设置快捷键<<
STR_SETTING188	78	由于底层限制，只有侠士的队友加载了剑心插件，侠士才可看见该名队友放置的物品名称
STR_RANGE_PROVIDE	8	锁定范围
STR_SETTING168	12	任务进度查询
STR_SETTING173	22	请输入任务ID或任务名。
STR_SETTING291	74	填写任务分类或地图关键字可进行筛选，空白表示不筛选，结果未必准确，仅供参考
STR_SETTING169	4	查询
STR_SETTING170	6	小提示
STR_SETTING171	176	·该工具可方便侠士查询指定的任务状态\n·解决侠士任务断点的问题\n·重复任务、日常任务的状态未必准确\n·点击查询结果可查看更多信息\n·强大的配套资料站每周都会进行更新，敬请留意！
STR_SETTING172	14	打开资料库网站
STR_SETTING196	8	拾取优化
STR_SETTING208	12	丢弃物品优化
STR_SETTING211	8	范围提示
STR_SETTING149	8	其他功能
STR_SETTING195	26	启用绝境战场拾取优化、过滤
STR_SETTING199	12	启用自动拾取
STR_SETTING200	12	过滤规则设置
STR_SETTING201	201	1、在“过滤规则设置中”设置的绿色装备和蓝色装备为初始设置，每次进入绝境战场均会重新读取该设置\n2、绝境战场内的拾取框处勾选的过滤只有当次比赛生效！\n3、智能判定已穿戴的装备，如果身上无更好装备则不会过滤
STR_SETTING209	28	背包界面增加快速丢弃物品功能
STR_SETTING210	24	小地图增加风暴圈范围提示
STR_SETTING165	30	显示目标的装备品质及分数简略图
STR_SETTING263	32	战场小地图增加辅助功能及信息提示
STR_SETTING204	14	资料站入口索引
STR_SETTING259	8	奇遇任务
STR_SETTING260	8	宠物任务
STR_SETTING261	12	特殊武器任务
STR_SETTING214	32	※仅限有"管理活动"权限的成员使用
STR_SETTING215	8	勿扰模式
STR_SETTING46	8	在线帮众
STR_SETTING45	8	当前地图
STR_SETTING44	8	其他地图
STR_SETTING283	14	发送到密聊频道
STR_SETTING284	14	发送到帮会频道
STR_SETTING285	14	每30秒循环发送
STR_SETTING217	8	发送信息
STR_SETTING212	8	历史信息
STR_SAVE	4	保存
STR_SETTING216	30	不接收群密消息（本次登录生效）
STR_SETTING293	45	登录处于宣战状态或宣战开启时进行声音/文字提醒
STR_SETTING294	40	开启宣战敌对帮众、友方帮众的场景标记功能
STR_SETTING226	25	启用连续击伤&协伤人数统计
STR_SETTING225	8	持续时间
STR_SETTING255	10	选择门派：
STR_SETTING256	10	选择心法：
STR_SETTING257	10	>阵眼效果<
STR_SETTING258	10	推荐奇穴：
STR_SKILLPanel_QIXUE	4	奇穴
STR_SETTING280	8	标记功能
STR_SETTING281	8	快速选择
STR_SETTING277	30	比赛开始后自动标记所有敌对侠士
STR_SETTING278	20	敌方信息列表显示标记
STR_SETTING279	46	敌方信息列表增加在自己周围30尺内可见目标的标识
STR_SETTING282	42	战场小地图增加[凶星龙兽][煞星龙兽]刷新时间
STR_SETTING268	165	1、勾选后修改的配置项将对当前电脑（云端模式为当前账号）下所有启用该功能的角色生效\n2、第一次勾选时会把该角色的当前设置设为共用数据\n3、快捷键相关功能仍需角色单独设置
STR_SETTING267	16	使用本地共用数据
STR_SETTING128	63	感谢侠士的使用，如遇到BUG，请通过客服热线028-85309911反馈给作者
STR_SETTING127	4	反馈
STR_TIANJIA	4	添加
STR_BUBBLE_BUTTON	8	查看详细
STR_SETTING205	4	丢弃
STR_SETTING206	12	丢弃全部绿装
STR_SETTING207	12	丢弃全部蓝装
STR_SETTING202	8	自动拾取
STR_SETTING203	12	>>更多设置<<
STR_EMOTION_MANAGE_NEW	4	新建
STR_EMOTION_MANAGE_DELETE	4	删除
STR_SETTING265	8	BUFF查询
STR_SETTING266	20	※双击结果添加该BUFF
STR_SETTING81	12	斩伤喊话设置
STR_SETTING61	14	对应喊话内容：
STR_SETTING78	10	变量说明：
STR_SETTING85	33	@map：所在地图，@tong：目标的帮会
STR_SETTING79	35	@self：自己的名字，@skill：技能名字
STR_SETTING65	10	类型选择：
STR_SETTING222	4	导入
STR_SETTING223	4	导出
STR_SETTING69	8	击伤喊话
STR_SETTING70	8	协伤喊话
STR_SETTING71	8	被伤喊话
STR_SETTING98	14	对应喊话频道：
STR_SETTING91	4	上线
STR_SETTING92	4	过图
STR_SETTING93	4	进帮
STR_SETTING94	4	入队
STR_SETTING77	12	技能喊话设置
STR_SKILL_NAME	9	技能名称:
STR_SETTING80	38	@target： 我的目标或对我释放技能的目标
STR_SETTING62	4	读条
STR_SETTING63	4	命中
STR_SETTING64	6	被命中
STR_SETTING4	13	目标/焦点列表
STR_SETTING26	2	全
STR_SETTING27	2	友
STR_SETTING28	2	敌
STR_SETTING25	10	非敌对目标
STR_BIAO	2	标
STR_SETTING24	2	清
STR_SETTING30	73	左键：展开/收起列表\n右键：打开快速设置菜单\n拖动按钮附近区域可拖动该界面
STR_SETTING175	17	团队技能添加/修改
STR_SETTING176	8	技能ID：
STR_SETTING236	8	技能名：
STR_SETTING237	12	未找到该技能
STR_SETTING177	8	技能CD：
STR_SETTING178	86	小提示：\n按下Ctrl键将鼠标移动到技能图标处即可查看技能ID（红色数字）；技能CD单位为秒。
STR_SETTING238	20	重置统计时忽略该技能
STR_SETTING174	16	重置所有技能统计
STR_SETTING161	28	请输入想要搜索的地图名关键字
STR_SETTING218	44	攻略由有爱玩家提供，不保证其准确性，仅供参考
STR_SETTING219	28	首次加载较慢，请稍等片刻……
STR_SETTING220	38	攻略有问题？点我一起来编辑完善(*^▽^*)
STR_SETTING235	8	秘籍列表
STR_SETTING298	8	采集助手
STR_SETTING299	12	启用头顶名字
STR_SETTING300	15	设置&自定义数据
STR_SETTING301	26	[剑心插件]家园花价查询功能
STR_SETTING302	18	[剑心插件]种植信息
STR_SETTING303	10	仅显示拥有
STR_SETTING304	4	鲜花
STR_SETTING305	4	作物
STR_SETTING306	20	最高价格收购的小区：
STR_SETTING307	50	目前还没有小区以最高价格收购该产物，您可稍后再来。
STR_SETTING308	8	家园助手
STR_SETTING309	38	背包增加种植产物信息、花价查询快捷入口
STR_SETTING310	12	查看花价信息
STR_SETTING311	26	背包增加家园储物箱快捷入口
STR_SETTING312	28	[剑心插件]家园储物箱快捷入口
STR_SETTING313	4	配置
STR_SETTING314	8	共享设置
STR_SETTING315	12	场景自由设置
STR_SETTING316	4	对抗
STR_SETTING317	4	休闲
STR_SETTING318	8	指挥辅助
STR_SETTING319	18	将当前角色模拟为：
STR_SETTING320	40	自定义阵营更换头顶名字颜色（仅中立可用）
STR_SETTING321	20	万花天工甲士突出显示
STR_SETTING322	12	全部物品显示
STR_SETTING323	6	服务器
STR_SETTING324	16	团队满员取消发送
STR_TARGET	10	我方目标：
STR_ENEMYBONUS	12	进攻方积分：
STR_COUNTDOWN	8	倒计时：
STR_SUCCESSRULL	16	帮战胜负规则说明
STR_TARGETTITLE	13	帮会宣战.领地
STR_NPCLIST	8	守方首领
STR_TITLEPOINTS	4	积分
STR_SETTING325	12	千里伐逐监控
STR_SETTING326	265	<text>text="小提示：" font=65 </text><text>text="\\\n阵营对应列出的服务器为推荐进攻服务器顺序，按照保护期结束时间排序；\\\n过图以及不在线时无法监控首领被击败信息；\\\n更新保护期时间需要重新打开一次千里伐逐界面；\\\n信息仅供参考，无法保证完全准确；" font=106 </text>
STR_SETTING327	8	千里伐逐
STR_SETTING328	36	千里伐逐界面增加信息监控界面开关入口
STR_SETTING329	12	对抗信息监控
STR_SETTING330	4	浩气
STR_SETTING331	4	恶人
STR_SETTING332	6	保护期
STR_SETTING333	12	过图自动喂马
STR_SETTING334	64	过图时根据侠士的设置选项补充当前坐骑饱食度，未解锁时只会进行提示
STR_SETTING335	8	外观信息
STR_SETTING336	12	外观信息查询
STR_SETTING337	30	请输入外观名称或外观道具名称。
STR_SETTING338	12	道具信息扩展
STR_SETTING339	36	外观道具弹框内容中增加万宝楼交易信息
STR_SETTING340	56	在家园地图时，总数将包含家园储物箱中的对应种植产物的数量
STR_SETTING341	12	BUFF名字或ID
STR_SETTING342	12	记录目标选择
STR_SETTING343	16	技能头顶名字设置
STR_SETTING344	4	自己
STR_SETTING345	4	小队
STR_SETTING346	4	团队
STR_SETTING347	4	敌人
STR_SETTING348	4	其他
STR_SETTING350	12	启用当前分类
STR_SETTING351	8	快捷丢弃
STR_SETTING352	394	<text>text="核心奇穴（第一重）\n" font=65 </text><text>text="核心奇穴分为四个套路属性，以不同的边框形状视觉区分。\n"</text><text>text="\n套路奇穴（第二至七重）\n" font=65 </text><text>text="选择核心奇穴后，常规奇穴只能选择与“第一重核心奇穴”同套路（同边框）的选项，或无套路的选项。\n"</text><text>text="\n混选奇穴（第八至十重）\n" font=65 </text><text>text="从12个无套路奇穴中任选3个。"</text>
STR_SETTING353	12	团队列表保存
